id,question,A,B,C,Answerkey
101,Where is your teacher from?,She is from the UK.,She is from UK.,He is from India.,A
102,Does your brother go to school by bike?,"No, he doesn't.","No, he don't.",He go by bike.,A
103,What does Lily do on weekends?,She goes jogging.,She go jogging.,She is jogging.,A
104,What time does your father get up?,He gets up at five forty.,He get up at five forty.,It's five forty.,A
105,Were you at the movie theater last night?,"No, I wasn't.","No, I'm not.","Yes, I do.",A
106,Did you clean your room yesterday?,"Yes, I did.","Yes, I do.",I clean my room.,A
107,How much are the jeans?,They're eighty dollars.,It's eighty dollars.,They are jeans.,A
108,Is it cold and snowy in winter?,"Yes, it is.","Yes, it was.","No, it doesn't.",A
109,Is Kevin from Spain?,"No, he's from Taiwan.","No, she's from Taiwan.","Yes, he from.",A
110,Do they go to school by metro?,"No, they don't.","No, they aren't.",They go by metro.,A
111,Do you play basketball on Sundays?,"No, I don't.",I don't play.,"No, I'm not.",A
112,What time do you do your homework?,I do it at seven.,"Yes, I do homework at seven.","Yes, I do homework.",A
113,Were you at the restaurant yesterday?,"Yes, I was.","Yes, I am.","No, I don't.",A
114,Did she visit a friend last night?,"No, she didn't.","No, she doesn't.",She didn't visit.,A
115,How much is the dress?,It's ninety dollars.,They're ninety dollars.,It's a dress.,A
116,What's your favorite season?,My favorite season is spring.,I like sunny days.,It is spring now.,A
117,Are you from Singapore?,"Yes, I am.","Yes, I do.","No, I'm from.",A
118,Does he go to school on foot?,"No, he doesn't.",He goes on foot.,"No, he don't.",A
119,What does he do in his free time?,He surfs the Internet.,He surf the Internet.,He is surfing.,A
120,What time does she go to bed?,She goes to bed at ten.,She go to bed at ten.,"Yes, she goes to bed at ten.",A
121,Was your mother at home yesterday?,"Yes, she was.","Yes, she is.","No, he wasn't.",A
122,Did you watch videos last night?,"Yes, I did.","Yes, I do.","No, I'm not.",A
123,How much are the shorts?,They're twenty dollars.,It's twenty dollars.,Those are shorts.,A
124,How is the weather in fall?,It's cool and dry.,I like fall.,It was cool.,A
125,Where are they from?,They're from Australia.,They from Australia.,They are Australian.,A
126,How do you go to school?,I go to school by scooter.,I go by a scooter.,I am by scooter.,A
127,What do you do on weekends?,I listen to music.,I listening to music.,I am listen to music.,A
128,What time do you take a shower?,I take a shower at nine.,"Yes, I take a shower at nine.",I am taking a shower.,A
129,Were you at the mall yesterday?,"No, I was at school.","No, I'm at school.",I went to the mall.,A
130,Did he play basketball last night?,"Yes, he did.","Yes, he plays.","No, he doesn't.",A
131,How much is the T-shirt?,It's fifteen dollars.,They're fifteen dollars.,It's cheap.,A
132,Is it foggy and wet today?,"No, it isn't.","No, it wasn't.","Yes, it does.",A
133,Is she from Japan?,"Yes, she is.","Yes, he is.","No, she don't.",A
134,Does she go to school by car?,"Yes, she does.",She goes by car.,"No, she do.",A
135,What does Tom do in his free time?,He plays baseball.,He play baseball.,He playing baseball.,A
136,What time does the train leave?,It leaves at three.,It's at three.,I leave at three.,A
137,Were they at the zoo yesterday?,"No, they weren't.","No, they aren't.","Yes, they do.",A
138,Did you walk the dog last night?,"No, I didn't.","No, I don't.",I didn't walk.,A
139,How much are the pants?,They're fifty dollars.,It's fifty dollars.,The pants are nice.,A
140,Is summer your favorite season?,"No, I like winter.","Yes, I am.","No, it doesn't.",A
141,Are they from the USA?,"No, they're from Spain.","No, they from Spain.","Yes, they do.",A
142,Do you go to school by train?,"Yes, I do.",I go by train.,"No, I'm not.",A
143,Do you study English on Sundays?,"Yes, I do.",I study English.,"No, I'm not.",A
144,What time do you have breakfast?,At seven.,"Yes, at seven.",I'm having breakfast.,A
145,Was he at the restaurant last night?,"No, he wasn't.","No, he isn't.","Yes, he does.",A
146,Did she clean the kitchen yesterday?,"Yes, she did.","Yes, she cleans.","No, she don't.",A
147,How much is that black coat?,It's one hundred dollars.,They're one hundred dollars.,It's a coat.,A
148,What's the weather like in summer?,It's hot and rainy.,I like summer.,It was hot.,A
149,Whose soda is this on the table?,It's my soda.,It is a table.,This is a soda.,A
150,Would you like some beef sandwiches?,"No, thank you.","No, I don't.","Yes, I do.",A
